scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
domestic_inflow_zero,2035,11530366.728273673,10532502.100294193,997864.6279794804,5538055.874099199,5992310.854174474,1041193.6864937026,7047937.137402352,3441235.904377619,0.08654231487127043,0.29844982258364305
domestic_inflow_zero,2036,11266418.156026,10250807.347816069,1015610.8082099331,5398603.014096053,5867815.141929949,982038.8823931935,6818015.338295897,3466363.935336912,0.09014495948445865,0.3076722244223537
domestic_inflow_zero,2037,11007863.21600664,9975247.561977664,1032615.6540289777,5262275.944041462,5745587.27196518,936019.8866396301,6563661.552338344,3508181.777028668,0.09380709350816073,0.3186977988541307
domestic_inflow_zero,2038,10753798.066090934,9704904.112854995,1048893.9532359405,5128806.135797319,5624991.930293617,890780.862339758,6317123.708116184,3545893.4956349926,0.09753706986030651,0.3297340598961
domestic_inflow_zero,2039,10504808.548579518,9440324.738451246,1064483.8101282741,4998217.25268426,5506591.295895259,846486.3572066934,6077901.172034236,3580421.0193385896,0.10133300432897617,0.3408363896191846
domestic_inflow_zero,2040,10260716.005575042,9181297.535838306,1079418.4697367377,4870430.116293167,5390285.889281876,803283.5575014427,5845558.112825802,3611874.335247798,0.10519913709240641,0.35200997018973407
domestic_inflow_zero,2041,10021390.530098967,8927667.490365034,1093723.0397339328,4745365.651961242,5276024.878137725,761332.4379910765,5619639.227474377,3640418.864633513,0.10913885018740326,0.36326484370603224
domestic_inflow_zero,2042,9786763.175276263,8679339.377741713,1107423.7975345487,4622973.236269567,5163789.939006694,718853.0738567504,5420077.832336908,3647832.269082603,0.11315526673131007,0.37273122928915986
domestic_inflow_zero,2043,9557058.798873128,8436523.338660166,1120535.4602129622,4503495.985780149,5053562.813092978,679423.1231594079,5224854.63425257,3652781.04146115,0.11724689402822178,0.38220765596752937
domestic_inflow_zero,2044,9332712.311841091,8199637.5965283895,1133074.7153127026,4386971.520827183,4945740.791013909,642928.5025054556,5033910.308062751,3655873.501272884,0.1214089406650935,0.39172679700352614
domestic_inflow_zero,2045,9113644.392826965,7968587.568581779,1145056.824245188,4273334.617241376,4840309.775585589,609260.4834695656,4847177.227384136,3657206.681973264,0.12564203461201784,0.4012891576998248
domestic_inflow_zero,2046,8899779.639000801,7743281.564409043,1156498.0745917575,4162516.154184716,4737263.484816086,578314.1610747195,4664606.781408474,3656858.696517607,0.12994682132619637,0.4108931731851477
